Description,Price,Image URL
"27-Inch G55C Odyssey QHD 2K Curved Gaming Monitor, HRDR 10, VA Panel, 1ms MPRT, 165hz with Game Mode, Supports AMD FreeSync, HDMI and DisplayPort, Local Warranty","9,200",https://m.media-amazon.com/images/I/71gaBO+mp6L._AC_UL320_.jpg
"27-Inch Essential Monitor S3, IPS, Full HD Monitor, Refresh Rate 100Hz & Response Time 5ms(GTG)","5,140",https://m.media-amazon.com/images/I/41N2+8+9VWL._AC_UL320_.jpg
"27 inch odyssey g5 gaming monitor with 1000r curved screen, 144hz, 1ms, freesync premium, qhd (lc27g55tqwmxzn), black","9,299",https://m.media-amazon.com/images/I/71l3vEp4Z2S._AC_UL320_.jpg
"Galaxy Watch7 Smartwatch, Silver, 44mm, Bluetooth, Sleep Coaching, Fitness Tracker, UAE Version","8,444",https://m.media-amazon.com/images/I/51h-7cu863L._AC_UL320_.jpg
"Galaxy A17 LTE, Android Smartphone, 128GB Storage, 6GB RAM, Black, 6x OS Upgrades, Large Display, 50MP OIS Camera - 1 Year Warranty/Local Version","8,139",https://m.media-amazon.com/images/I/61Ni-LageEL._AC_UL320_.jpg
"Galaxy A36 5G, Android Smartphone, 256GB Storage, 8GB RAM, Black, 6x OS Upgrades, Large Display, Octa-Core Processor 1 Year Warranty/Local Version","15,699",https://m.media-amazon.com/images/I/61L1axyHpqL._AC_UL320_.jpg
"Galaxy A07 Dual Sim 4GB RAM 128GB Storage Android Smartphone, 6.7-Inch Screen Size, Black- 1 Year Warranty/Local Version","5,280",https://m.media-amazon.com/images/I/51d-hNJAdBL._AC_UL320_.jpg
"Galaxy A26 5G, Android Smartphone, 256GB Storage, 8GB RAM, Black, 50MP Camera, Large Display, Long Battery Life 1 Year Warranty/Local Version","12,800",https://m.media-amazon.com/images/I/618DNp6DdhL._AC_UL320_.jpg
"Galaxy A56 5G, Android Smartphone, 256GB Storage, 12GB RAM, Awesome Graphite, 6x OS Upgrades, Large Display, Long Battery Life 1 Year Warranty/Local Version","22,499",https://m.media-amazon.com/images/I/616+oTRo6-L._AC_UL320_.jpg
"Galaxy A07 Dual Sim 4GB RAM 64GB Storage Android Smartphone, 6.7-Inch Screen Size, Black- 1 Year Warranty/Local Version","4,845",https://m.media-amazon.com/images/I/51d-hNJAdBL._AC_UL320_.jpg
"Galaxy A07 Dual Sim 6GB RAM 128GB Storage Android Smartphone, 6.7-Inch Screen Size, Black- 1 Year Warranty/Local Version","9,749",https://m.media-amazon.com/images/I/51d-hNJAdBL._AC_UL320_.jpg
"Galaxy A17 LTE, Android Smartphone, 256GB Storage, 8GB RAM, Black, 6x OS Upgrades, Large Display, 50MP OIS Camera- 1 Year Warranty/Local Version","11,199",https://m.media-amazon.com/images/I/61Ni-LageEL._AC_UL320_.jpg
"Galaxy A26 5G, Android Smartphone, 128GB Storage, 6GB RAM, Black, 50MP Camera, Large Display, Long Battery Life 1 Year Warranty/Local Version","12,770",https://m.media-amazon.com/images/I/618DNp6DdhL._AC_UL320_.jpg
"Galaxy M55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Black 1 Year Warranty/Local Version","5,540",https://m.media-amazon.com/images/I/71+d4rChCCL._AC_UL320_.jpg
"Galaxy A06 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Black- 1 Year Warranty/Local Version","33,399",https://m.media-amazon.com/images/I/71OVNSFWVLL._AC_UL320_.jpg
"Galaxy S25 FE, 5G, Smartphone, Android, 512GB Storage, 8GB RAM, Icyblue, Octa Core, 1.3GHz, 6.7-inch, Full HD, 120Hz-1 Year Warranty/Local Version","18,139",https://m.media-amazon.com/images/I/41p1CCmSBZL._AC_UL320_.jpg
"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Lemon -1 Year Warranty/Local Version, Tax Paid","3,865",https://m.media-amazon.com/images/I/71Azxw1VWeL._AC_UL320_.jpg
WW80T4040CX1 Front Load with Hygiene Steam Washing Maching 8.0Kg- (local warranty),"11,950",https://m.media-amazon.com/images/I/51BgjX+VKPL._AC_UL320_.jpg
55 Inch QLED Smart TV Neural HDR Quantum Processor Lite 4K - QA55QE1DAUXEG [2024 Model] (Check before accepting delivery),"4,444",https://m.media-amazon.com/images/I/81tqv5vT7wL._AC_UL320_.jpg
SmartTag2,"19,999",https://m.media-amazon.com/images/I/6108p11jMRL._AC_UL320_.jpg
"Odyssey G50D, 32-Inch Fast IPS, 2K QHD (2560 x 1440), Refresh Rate 180Hz & Response Time 1ms(GTG) Gaming Computer Monitor, AMD FreeSync, G-Sync Compatible",875,https://m.media-amazon.com/images/I/810Sytc27aL._AC_UL320_.jpg
"9100 PRO NVMe M.2 SSD, 4TB, PCIe 5.0, 14800MB/s Read, 13400MB/s Write, Internal SSD for Gaming, Video Editing and AI, Black, MZ-VAP4T0BW","13,990",https://m.media-amazon.com/images/I/61FxIA4JDPL._AC_UL320_.jpg
"990 PRO w/Heatsink SSD 4TB, PCIe Gen4 M.2 2280 Internal Solid State Hard Drive,","26,900",https://m.media-amazon.com/images/I/81sGbFk4gLL._AC_UL320_.jpg
LS32CG552EUXEN,"25,900",https://m.media-amazon.com/images/I/81h8f9uZQEL._AC_UL320_.jpg
"Galaxy S25 Ultra AI Phone, 512GB Storage, 12GB RAM, Titanium Gray, Android Smartphone, 200MP Camera, S Pen, Long Battery Life 1 Year Warranty/Local Version","10,499",https://m.media-amazon.com/images/I/61uvatjvVYL._AC_UL320_.jpg
USB-C Power Adaptive EU Wall Charger Fast Charging 25W - Black,"66,999",https://m.media-amazon.com/images/I/51ki7yKWCFL._AC_UL320_.jpg
